Feature,Importance
LeadTime,0.16195728169851684
ArrivalDateWeekNumber,0.06666079157099684
StaysInWeekendNights,0.031869733880707435
StaysInWeekNights,0.05172805297586047
Adults,0.014604444690838204
Children,0.009661821452459522
Babies,0.001880121105179326
IsRepeatedGuest,0.003385342804458027
PreviousCancellations,0.024057722238930112
PreviousBookingsNotCanceled,0.007419907388686734
BookingChanges,0.023424251531104112
DaysInWaitingList,0.0010119340387659554
ADR,0.10358030260826845
RequiredCarParkingSpaces,0.053775424147338234
TotalOfSpecialRequests,0.04496987362119736
hasCompany,0.0037811458839905874
hasAgent,0.009082643339244785
IsDomestic,0.09902463696159111
ArrivalDateMonth_August,0.006315302791841507
ArrivalDateMonth_December,0.00355561963213453
ArrivalDateMonth_February,0.004372140956595664
ArrivalDateMonth_January,0.002946778336114974
ArrivalDateMonth_July,0.006848878507415119
ArrivalDateMonth_June,0.005211584707120635
ArrivalDateMonth_March,0.00448999564196932
ArrivalDateMonth_May,0.005433489533395765
ArrivalDateMonth_November,0.0032723059878514544
ArrivalDateMonth_October,0.005015675788900727
ArrivalDateMonth_September,0.004677396552460466
Meal_FB,0.0029481719437008456
Meal_HB,0.011746923292679231
Meal_SC,0.000266599227826777
Meal_Undefined,0.0040286920021549415
MarketSegment_Corporate,0.0022963795198061936
MarketSegment_Direct,0.006926175726881169
MarketSegment_Groups,0.012973350630748675
MarketSegment_Offline TA/TO,0.017993991174908863
MarketSegment_Online TA,0.022587269297955945
DistributionChannel_Direct,0.0066884884419352066
DistributionChannel_TA/TO,0.007680317383655497
DistributionChannel_Undefined,0.0
ReservedRoomType_B,1.5070520689154443e-05
ReservedRoomType_C,0.0022480047042043164
ReservedRoomType_D,0.00971021927440364
ReservedRoomType_E,0.006532184438301148
ReservedRoomType_F,0.002591107289039968
ReservedRoomType_G,0.0028357771854874625
ReservedRoomType_H,0.001392788392036995
ReservedRoomType_L,6.807654845766827e-05
ReservedRoomType_P,5.283345642724037e-05
AssignedRoomType_B,0.0009448462425425124
AssignedRoomType_C,0.005344611594691137
AssignedRoomType_D,0.01153458037581626
AssignedRoomType_E,0.007844396114754114
AssignedRoomType_F,0.004950664513770987
AssignedRoomType_G,0.0030377020154733476
AssignedRoomType_H,0.0015484387726340113
AssignedRoomType_I,0.0016282656887086269
AssignedRoomType_L,0.0
AssignedRoomType_P,8.279129059024696e-05
DepositType_Non Refund,0.04881737541345476
DepositType_Refundable,0.000312627120667578
CustomerType_Group,0.00044283884844299964
CustomerType_Transient,0.017178124783257632
CustomerType_Transient-Party,0.010735716399960515
